                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.595,                 1.4813,                 1.3092,                0.91933,                 0.9633,                0.97967,                0.72364,                0.95075,                 1.1759,                 0.9326,               0.070857,              0.0032381,              0.0032381
                      1,                 1.2581,                0.91309,                 1.0795,                0.94402,                 0.9633,                0.97423,                0.72464,                0.95503,                0.66301,                0.90183,               0.040727,              0.0064413,              0.0064413
                      2,                 1.2985,                 0.9394,                 1.0787,                 0.9812,                0.95782,                0.98341,                0.71628,                0.92119,                0.67204,                0.90412,               0.010465,              0.0095125,              0.0095125
                      3,                 1.2893,                0.90464,                 1.0776,                0.95097,                0.95413,                0.98251,                0.71406,                 1.1256,                0.98821,                0.97284,               0.009406,               0.009406,               0.009406
                      4,                 1.1577,                0.82485,                 1.0694,                0.93824,                0.97571,                0.98676,                0.69909,                 1.0215,                0.63349,                0.97484,               0.009406,               0.009406,               0.009406
                      5,                 1.1665,                0.74607,                 1.0791,                0.92078,                0.95978,                0.98091,                0.64169,                 1.1024,                0.75837,                 1.0548,               0.009208,               0.009208,               0.009208
                      6,                 1.1063,                0.70111,                 1.0631,                0.96158,                0.97248,                0.98128,                0.74491,                0.87071,                0.54388,                 0.9439,                0.00901,                0.00901,                0.00901
                      7,                 1.0639,                0.68739,                 1.0526,                0.96252,                0.94251,                0.98945,                0.74034,                0.88311,                0.57132,                0.96988,               0.008812,               0.008812,               0.008812
                      8,                 1.0125,                0.62656,                 1.0389,                0.96122,                 0.9633,                0.99039,                0.71863,                0.91705,                0.55471,                0.94496,               0.008614,               0.008614,               0.008614
                      9,                 1.0237,                0.64281,                 1.0399,                0.97207,                0.95776,                0.99042,                0.75999,                0.84691,                0.50562,                0.91947,               0.008416,               0.008416,               0.008416
                     10,                 1.0105,                 0.6358,                 1.0347,                0.98358,                0.95413,                0.99168,                0.72745,                0.88926,                0.57202,                0.94165,               0.008218,               0.008218,               0.008218
                     11,                0.96013,                0.59215,                 1.0162,                 0.9669,                 0.9633,                0.99223,                0.76912,                 0.8723,                0.51876,                 0.9348,                0.00802,                0.00802,                0.00802
                     12,                0.95149,                0.58766,                 1.0178,                0.98389,                 0.9633,                0.99209,                0.78805,                0.85941,                0.46041,                0.94091,               0.007822,               0.007822,               0.007822
                     13,                  0.925,                0.57224,                 1.0061,                0.96817,                 0.9633,                0.98965,                0.77722,                0.80147,                0.48846,                0.92498,               0.007624,               0.007624,               0.007624
                     14,                0.92324,                0.56294,                 1.0009,                0.98775,                 0.9633,                0.99243,                0.81969,                0.72277,                0.43873,                0.90274,               0.007426,               0.007426,               0.007426
                     15,                0.87602,                0.53746,                0.98594,                0.98938,                 0.9633,                0.99366,                0.80301,                0.74534,                0.43451,                0.92011,               0.007228,               0.007228,               0.007228
                     16,                0.85263,                0.54063,                0.97899,                      1,                 0.9773,                0.99408,                 0.7949,                0.81022,                0.45244,                0.93222,                0.00703,                0.00703,                0.00703
                     17,                 0.8784,                0.53841,                0.99722,                 0.9801,                 0.9633,                0.99112,                0.77798,                0.78025,                0.45958,                0.90525,               0.006832,               0.006832,               0.006832
                     18,                0.85847,                0.52906,                0.98164,                0.98127,                0.96134,                0.99262,                0.82096,                0.69343,                0.43094,                0.92023,               0.006634,               0.006634,               0.006634
                     19,                0.82862,                0.52071,                0.97704,                0.99054,                 0.9611,                0.99287,                0.82279,                0.69593,                0.43194,                0.90196,               0.006436,               0.006436,               0.006436
                     20,                0.82681,                0.50899,                 0.9682,                0.99061,                 0.9674,                0.99311,                0.82003,                0.71831,                0.39854,                0.88954,               0.006238,               0.006238,               0.006238
                     21,                0.81035,                0.50008,                0.96164,                 0.9816,                 0.9788,                0.99418,                 0.8187,                0.74061,                0.41519,                0.88471,                0.00604,                0.00604,                0.00604
                     22,                0.79663,                0.48653,                0.97252,                0.98702,                0.98165,                0.99446,                0.79095,                0.80017,                0.41395,                0.90261,               0.005842,               0.005842,               0.005842
                     23,                0.79733,                0.49795,                0.96149,                      1,                0.97182,                0.99456,                0.81671,                0.70887,                0.41064,                0.88842,               0.005644,               0.005644,               0.005644
                     24,                0.77685,                0.48467,                0.95579,                0.99053,                0.95947,                0.99349,                0.85242,                0.63817,                 0.4142,                0.87477,               0.005446,               0.005446,               0.005446
                     25,                0.76971,                0.47864,                0.95442,                0.99567,                0.97248,                0.99404,                0.84183,                0.68609,                0.41428,                0.88989,               0.005248,               0.005248,               0.005248
                     26,                 0.7569,                0.46888,                0.95085,                0.99021,                0.98165,                0.99437,                0.83972,                0.64017,                0.38633,                 0.8771,                0.00505,                0.00505,                0.00505
                     27,                0.77784,                0.47025,                0.95463,                0.96389,                0.97959,                0.99284,                  0.832,                0.66894,                0.37406,                 0.8696,               0.004852,               0.004852,               0.004852
                     28,                 0.7413,                0.45862,                0.94519,                0.99056,                 0.9625,                0.99303,                0.83664,                0.65713,                0.41151,                0.87148,               0.004654,               0.004654,               0.004654
                     29,                0.72907,                0.45926,                0.93843,                0.99695,                0.95413,                0.99306,                0.85403,                0.61074,                0.39211,                  0.875,               0.004456,               0.004456,               0.004456
                     30,                0.71911,                0.45109,                0.94069,                0.99314,                0.95413,                0.99292,                0.83527,                0.66624,                0.37701,                 0.8735,               0.004258,               0.004258,               0.004258
                     31,                  0.713,                0.43749,                0.93833,                 0.9967,                 0.9633,                0.99342,                0.85648,                 0.6178,                0.36281,                0.86533,                0.00406,                0.00406,                0.00406
                     32,                0.69499,                0.43786,                0.93027,                0.99441,                 0.9633,                0.99262,                0.86206,                0.59579,                0.36138,                0.85668,               0.003862,               0.003862,               0.003862
                     33,                0.71098,                0.43539,                0.93915,                0.99836,                 0.9633,                0.99311,                0.86186,                0.57196,                0.34035,                0.85065,               0.003664,               0.003664,               0.003664
                     34,                0.68533,                0.42357,                 0.9277,                0.99863,                0.97248,                0.99403,                0.86664,                0.59429,                0.35383,                0.85571,               0.003466,               0.003466,               0.003466
                     35,                0.70122,                0.43251,                0.93519,                0.96953,                0.97248,                0.99302,                0.86086,                0.57499,                0.34216,                0.85457,               0.003268,               0.003268,               0.003268
                     36,                0.67025,                0.41973,                0.92576,                      1,                0.93845,                0.99269,                0.84293,                0.63102,                0.36566,                0.86086,                0.00307,                0.00307,                0.00307
                     37,                0.67528,                 0.4146,                0.91869,                0.98123,                0.95933,                0.99329,                0.85767,                0.59217,                0.35686,                0.85326,               0.002872,               0.002872,               0.002872
                     38,                0.66564,                 0.4195,                0.91769,                0.97685,                 0.9633,                0.99278,                0.86482,                 0.5865,                0.34167,                0.85313,               0.002674,               0.002674,               0.002674
                     39,                0.65435,                0.40162,                0.92108,                      1,                0.94367,                0.99296,                0.87081,                0.59535,                0.32886,                 0.8517,               0.002476,               0.002476,               0.002476
                     40,                0.60989,                  0.375,                0.90599,                0.97228,                0.96556,                0.99257,                0.86581,                0.57621,                0.32715,                0.84814,               0.002278,               0.002278,               0.002278
                     41,                0.59054,                0.36182,                0.88679,                0.97143,                0.98165,                0.99347,                0.88346,                0.54944,                0.32003,                0.84827,                0.00208,                0.00208,                0.00208
                     42,                0.57624,                0.35721,                 0.8855,                0.97263,                0.97827,                0.99311,                0.87527,                0.55698,                0.33423,                0.85044,               0.001882,               0.001882,               0.001882
                     43,                0.55992,                0.35186,                0.88903,                0.96396,                0.98163,                0.99308,                0.88278,                0.54768,                0.32289,                0.84444,               0.001684,               0.001684,               0.001684
                     44,                0.56322,                0.34985,                0.88969,                0.98392,                0.95413,                0.99276,                0.88108,                0.54591,                0.32508,                0.83255,               0.001486,               0.001486,               0.001486
                     45,                0.54556,                0.33698,                0.88256,                0.98149,                0.94495,                0.99267,                0.88095,                0.53404,                0.31705,                0.83312,               0.001288,               0.001288,               0.001288
                     46,                0.52958,                0.33275,                0.88061,                0.97228,                0.96529,                0.99313,                0.88644,                 0.5296,                0.31634,                0.83559,                0.00109,                0.00109,                0.00109
                     47,                0.52676,                0.33465,                0.87481,                0.97308,                 0.9633,                 0.9931,                0.88509,                0.52938,                0.30785,                0.84118,               0.000892,               0.000892,               0.000892
                     48,                0.52543,                0.32775,                 0.8825,                0.95547,                0.98417,                0.99301,                0.88473,                0.52505,                0.30785,                0.84069,               0.000694,               0.000694,               0.000694
                     49,                0.50431,                0.31483,                0.87062,                 0.9546,                0.99083,                0.99311,                0.88187,                0.52298,                0.30439,                0.83652,               0.000496,               0.000496,               0.000496
